Date,seasonal,trend,resid,Close
2012-01-03,11.94658625,,,1277.06
2012-01-04,21.43247275,,,1277.3
2012-01-05,8.216754552,,,1281.06
2012-01-06,5.38660191,,,1277.81
2012-01-09,-12.66843527,,,1280.7
2012-01-10,-17.88733938,,,1292.08
2012-01-11,-23.98620044,,,1292.48
2012-01-12,-6.22203214,,,1295.5
2012-01-13,2.102120501,,,1289.09
2012-01-17,-9.599617268,,,1293.67
2012-01-18,-21.06532373,,,1308.04
2012-01-19,-15.66892842,,,1314.5
2012-01-20,-17.17214173,,,1315.38
2012-01-23,-26.36555465,,,1316
2012-01-24,-45.39384036,,,1314.65
2012-01-25,-43.32762901,,,1326.05
2012-01-26,-21.37827872,,,1318.43
2012-01-27,-18.29924153,,,1316.33
2012-01-30,-11.08865445,,,1313.01
2012-01-31,-0.481173041,,,1312.41
2012-02-01,-8.470328292,,,1324.09
2012-02-02,6.069548421,,,1325.54
2012-02-03,-1.841520073,,,1344.9
2012-02-06,7.450895453,,,1344.33
2012-02-07,10.78636121,,,1347.05
2012-02-08,6.890420567,,,1349.96
2012-02-09,12.82766714,,,1351.95
2012-02-10,8.375498192,,,1342.64
2012-02-13,-11.90709998,,,1351.77
2012-02-14,-16.98662966,,,1350.5
2012-02-15,-16.98737395,,,1343.23
2012-02-16,-13.77083057,,,1358.04
2012-02-17,-22.61727806,,,1361.23
2012-02-21,-20.76728263,,,1362.21
2012-02-22,-13.9295292,,,1357.66
2012-02-23,-25.78610455,,,1363.46
2012-02-24,-50.99969815,,,1365.74
2012-02-27,-47.42458857,,,1367.59
2012-02-28,-59.45597213,,,1372.18
2012-02-29,-48.41129176,,,1365.68
2012-03-01,-53.080205,,,1374.09
2012-03-02,-51.44454747,,,1369.63
2012-03-05,-47.52874838,,,1364.33
2012-03-06,-45.76473925,,,1343.36
2012-03-07,-37.66037852,,,1352.63
2012-03-08,-35.92945158,,,1365.91
2012-03-09,-32.7948671,,,1370.87
2012-03-12,-19.90647898,,,1371.09
2012-03-13,-5.477593132,,,1395.95
2012-03-14,-11.88545158,,,1394.28
2012-03-15,-0.494364821,,,1402.6
2012-03-16,5.897128329,,,1404.17
2012-03-19,2.429078101,,,1409.75
2012-03-20,-4.599095415,,,1405.52
2012-03-21,-1.223935598,,,1402.89
2012-03-22,0.711137462,,,1392.78
2012-03-23,7.856562119,,,1397.11
2012-03-26,22.73751646,,,1416.51
2012-03-27,28.26356669,,,1412.52
2012-03-28,36.0024434,,,1405.54
2012-03-29,34.37963061,,,1403.28
2012-03-30,28.28542513,,,1408.47
2012-04-02,35.12086349,,,1419.04
2012-04-03,38.74039317,,,1413.38
2012-04-04,40.9537813,,,1398.96
2012-04-05,54.21434294,,,1398.08
2012-04-09,56.37613746,,,1382.2
2012-04-10,55.44024248,,,1358.59
2012-04-11,55.53132011,,,1368.71
2012-04-12,52.86329728,,,1387.57
2012-04-13,43.28800961,,,1370.26
2012-04-16,40.46832468,,,1369.57
2012-04-17,48.41691372,,,1390.78
2012-04-18,44.47605984,,,1385.14
2012-04-19,49.77146623,,,1376.92
2012-04-20,44.06278586,,,1378.53
2012-04-23,41.0711055,,,1366.94
2012-04-24,24.10385892,,,1371.97
2012-04-25,7.416845224,,,1390.69
2012-04-26,7.116470795,,,1399.98
2012-04-27,15.49516943,,,1403.36
2012-04-30,4.130534722,,,1397.91
2012-05-01,11.18885436,,,1405.82
2012-05-02,13.36260778,,,1402.31
2012-05-03,6.322009608,,,1391.57
