Date,seasonal,trend,resid,Close
2012-01-03,4.425808755,,,1277.06
2012-01-04,2.587413151,,,1277.3
2012-01-05,4.950784946,,,1281.06
2012-01-06,3.366579818,,,1277.81
2012-01-09,5.263125605,,,1280.7
2012-01-10,4.403598133,,,1292.08
2012-01-11,4.619237327,,,1292.48
2012-01-12,4.005878352,,,1295.5
2012-01-13,1.416129268,,,1289.09
2012-01-17,-1.255846922,,,1293.67
2012-01-18,-8.658617985,,,1308.04
2012-01-19,-11.27406872,,,1314.5
2012-01-20,-9.693318717,,,1315.38
2012-01-23,-5.897155754,,,1316
2012-01-24,-3.260900199,,,1314.65
2012-01-25,-3.911515421,1315.912167,14.04934875,1326.05
2012-01-26,-1.825462307,1318.360667,1.89479564,1318.43
2012-01-27,-0.104462307,1321.0425,-4.608037693,1316.33
2012-01-30,-1.130559377,1323.785333,-9.644773957,1313.01
2012-01-31,-4.081315787,1326.474667,-9.98335088,1312.41
2012-02-01,0.045149415,1328.947,-4.902149415,1324.09
2012-02-02,1.773349048,1331.357667,-7.591015715,1325.54
2012-02-03,0.673275788,1333.780167,10.44655755,1344.9
2012-02-06,-1.003363406,1336.3665,8.966863406,1344.33
2012-02-07,-1.983398204,1338.9515,10.0818982,1347.05
2012-02-08,-3.818086849,1341.2525,12.52558685,1349.96
2012-02-09,2.398847217,1343.272167,6.278986117,1351.95
2012-02-10,1.514184213,1345.006833,-3.881017546,1342.64
2012-02-13,4.100096301,1346.278667,1.391237032,1351.77
2012-02-14,12.35461462,1347.367667,-9.222281283,1350.5
2012-02-15,4.425808755,1348.665,-9.860808755,1343.23
2012-02-16,2.587413151,1350.203333,5.249253516,1358.04
2012-02-17,4.950784946,1351.99,4.289215054,1361.23
2012-02-21,3.366579818,1354.285,4.558420182,1362.21
2012-02-22,5.263125605,1357.031833,-4.634958938,1357.66
2012-02-23,4.403598133,1359.704833,-0.648431466,1363.46
2012-02-24,4.619237327,1362.323833,-1.20307066,1365.74
2012-02-27,4.005878352,1364.715167,-1.131045019,1367.59
2012-02-28,1.416129268,1366.815833,3.948037399,1372.18
2012-02-29,-1.255846922,1368.766333,-1.830486411,1365.68
2012-03-01,-8.658617985,1370.410667,12.33795132,1374.09
2012-03-02,-11.27406872,1371.877,9.027068717,1369.63
2012-03-05,-9.693318717,1373.860833,0.162485384,1364.33
2012-03-06,-5.897155754,1376.1045,-26.84734425,1343.36
2012-03-07,-3.260900199,1378.034333,-22.14343313,1352.63
2012-03-08,-3.911515421,1379.9525,-10.13098458,1365.91
2012-03-09,-1.825462307,1381.793833,-9.098371026,1370.87
2012-03-12,-0.104462307,1383.597833,-12.40337103,1371.09
2012-03-13,-1.130559377,1385.414167,11.66639271,1395.95
2012-03-14,-4.081315787,1386.955333,11.40598245,1394.28
2012-03-15,0.045149415,1388.220667,14.33418392,1402.6
2012-03-16,1.773349048,1389.072,13.32465095,1404.17
2012-03-19,0.673275788,1389.196333,19.88039088,1409.75
2012-03-20,-1.003363406,1388.9885,17.53486341,1405.52
2012-03-21,-1.983398204,1389.2955,15.5778982,1402.89
2012-03-22,-3.818086849,1389.5965,7.001586849,1392.78
2012-03-23,2.398847217,1389.531667,5.179486117,1397.11
2012-03-26,1.514184213,1389.9715,25.02431579,1416.51
2012-03-27,4.100096301,1391.108667,17.31123703,1412.52
2012-03-28,12.35461462,1392.209833,0.975552051,1405.54
2012-03-29,4.425808755,1392.825,6.029191245,1403.28
2012-03-30,2.587413151,1392.969833,12.91275352,1408.47
2012-04-02,4.950784946,1392.919,21.17021505,1419.04
2012-04-03,3.366579818,1392.846,17.16742018,1413.38
2012-04-04,5.263125605,1392.853333,0.843541062,1398.96
2012-04-05,4.403598133,1392.961,0.715401867,1398.08
2012-04-09,4.619237327,1392.869333,-15.28857066,1382.2
