index,RSI
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,47.89229181004819
31,48.950753088509046
32,53.929785719933555
33,54.80294082198386
34,59.284421962116454
35,59.458068311334976
36,57.140750571407516
37,54.22993492407811
38,53.20244388000272
39,55.95572733661276
40,54.732821676935814
41,55.70013047004476
42,61.585736234680404
43,62.978345757898495
44,63.24622222222221
45,67.21330058567915
46,67.54765702134124
47,66.95625666819082
48,63.376749453927694
49,63.521353746978264
50,60.210043918273826
51,61.96504593322875
52,61.71916109148313
53,56.74424530705852
54,59.5793976118339
55,60.54372777602734
56,57.53645907557835
57,62.44732165524241
58,63.36992697829215
59,61.40929826264192
60,56.172592888533735
61,54.56656692421062
62,48.85882126348228
63,51.0954652832461
64,43.616482737673415
65,37.09409386930164
66,38.54510451045109
67,41.81747231842348
68,42.74318193149528
69,44.610041962089454
70,44.41509796388784
71,42.25780704379929
72,38.01874163319949
73,34.57404980340762
74,38.12286181764096
75,40.13048016701467
76,42.781726949613265
77,43.0743332105845
78,43.34109676053356
79,39.1851158923189
80,41.844719462789335
81,39.110981987216746
82,33.91145307769925
83,31.893666729809922
84,31.730042810375238
85,31.21696451044552
86,30.19292800194758
87,28.814582327378062
88,23.069111122988957
89,27.84016714546884
90,33.379790940766554
91,36.22559652928417
92,37.42195250043769
93,29.33467741935482
94,26.995752160539055
95,31.55480033984702
96,35.46940083306629
97,38.895631067961205
98,44.384137694978236
99,40.44009532018455
100,38.878869120156004
101,36.73145206503457
102,37.447457157374416
103,35.330776605944365
104,33.9725905490789
105,34.02691142398854
106,35.753026424263396
107,36.357775294421
108,40.134206084558016
109,43.41813928228264
110,42.1999350332954
111,41.59150130286633
112,36.31993162636657
113,37.355195152379224
114,35.91131823321794
115,35.258890421559045
116,40.493240422593985
117,39.69403173004278
118,48.55376394196416
119,47.26768995605374
120,44.65391282813273
121,43.34482758620688
122,41.43704640587825
123,42.95436099144659
124,47.770804201489376
125,45.442700254389784
126,46.197148626323205
127,42.674943913457675
128,40.15336242299795
129,37.07269387996919
130,37.27031775812262
131,38.40135010739488
132,43.458667793268546
133,46.8097137075174
134,48.7041873547054
135,46.74251398033111
136,45.52243011722273
137,44.947528774542974
138,42.5903842238446
139,41.41593443980949
140,39.96631170240102
141,41.964886695086356
142,49.38260818917818
143,49.82824813093557
144,52.682171448606304
145,55.65051420106544
146,53.4352286662878
147,54.42829723060047
148,51.30700869168918
149,51.86639207105159
150,54.079989263186135
151,57.648240575069835
152,61.59964508666855
153,64.9150429705438
154,62.147823508089736
155,66.07757006163375
156,63.25627853881275
157,63.569226356922634
158,59.55229900510888
159,64.92012311300016
160,68.10130235578482
